locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0129	-4.18306570916318	0.26725059406234	NULL	0
Mmol_0130	-2.17557627571242	0.519201905409239	NULL	0
Mmol_0131	-1.35356989998942	0.387744346331912	NULL	0
Mmol_0132	-1.03302396112189	0.751118527211009	NULL	0
Mmol_0133	-1.17959579239402	0.611258773421232	NULL	0
Mmol_0134	-1.53973703429112	0.268878724027116	NULL	0
Mmol_0135	-3.32546408307052	0.214787458593907	NULL	0
Mmol_0136	1.25347822007248	0.657800415444164	NULL	0
Mmol_0137	1.5140531986405	0.381809121108235	NULL	0
Mmol_0138	1.28601067626937	0.453386505977062	NULL	0
Mmol_0139	-1.14474009214336	0.781903677852945	2.1844819030425	0.0154957
Mmol_0140	-1.45950194620022	0.226892732846915	-2.33927051730142	0.00167983
Mmol_0141	-1.27086489162593	0.510098922997855	2.60452442266882	0.00434842
Mmol_0142	3.18303418274007	0.0486105482723443	NULL	0
Mmol_0143	-3.87166087386686	0.00675880635711195	-1.53858525793265	0.152344
Mmol_0144	1.07129135496339	0.726669019230926	NULL	0
Mmol_0145	3.12013805956015	0.0595132413942169	2.38947904162446	0.0152444
Mmol_0146	3.29305927038301	0.158850529529174	-1.52846673848863	0.1716
Mmol_0147	3.13678475463173	0.0533518176449915	-3.40858350147028	0.000312585
Mmol_0148	3.56946569713973	0.0390936770729783	13.8939654032389	0.121628
Mmol_0149	1.14998462154662	0.831091935329144	-1.13452120031897	0.633573
Mmol_0150	5.84964602902748	0.383553786670905	13.8530959891096	0.00446587
Mmol_0151	1.03427461439944	0.932149470548927	-1.53342294347754	0
Mmol_0152	2.48506287069105	0.00819698233727511	NULL	0
Mmol_0153	2.20515005224779	0.149665043304631	NULL	0
Mmol_0154	-2.41364638359227	0.109142116241621	2.11490284401123	0.702798
Mmol_0155	-1.77705333811247	0.273773566563554	-1.34107815787762	0.400122
Mmol_0156	-3.52297261269836	0.219077757182825	-2.22032574941294	0.00289475
Mmol_0157	-1.5256268557473	0.413876234963323	54.9552673950379	0.0221344
Mmol_0158	-1.72066012767168	0.10336920521202	-1.28227130163574	0.210469
Mmol_0159	-1.29337240113475	0.280073708869253	-1.55066148847363	0.0346383
Mmol_0160	6.93349330121624	0.297992581087282	NULL	0
Mmol_0161	1.52243719789904	0.382398975096438	NULL	0
Mmol_0162	1.35721743874295	0.460733676939172	1.64581979441112	0.0699683
Mmol_0163	1.85261847228143	0.16714008091329	NULL	0
Mmol_0164	-1.16110570467351	0.615452075454767	1.65890562123266	0.552408
Mmol_0165	1.58859014687622	0.505259916328374	3.09129645917897	0.0262309
Mmol_0166	1.43212629916012	0.590750847146716	-1.25118629952648	0.0812688
Mmol_0167	1.66598886150347	0.505548294496228	NULL	0
Mmol_0168	1.01558184230029	0.95019579975391	NULL	0
Mmol_0169	1.15707916514652	0.80824236170354	NULL	0
Mmol_0170	1.28134998341939	0.604371546869734	1.01059650511659	0.891946
Mmol_0171	-1.5099428656449	0.336208940679222	NULL	0
Mmol_0172	-2.78351478041489	0.0136192004870283	NULL	0
Mmol_0173	-1.75243748784496	0.413468262931639	-1.5332779274929	0.0815339
Mmol_0174	1.35194318088108	0.448688726405245	-2.20010543468567	0.00246123
Mmol_0175	1.00100273659507	0.9966959063887	NULL	0
Mmol_0176	1.09509708520707	0.794399480548967	-6.73046161260747	0.222299
Mmol_0177	-1.13992095709888	0.628775191515908	-1.90102649002723	0.00451229
Mmol_0178	1.78509457732275	0.343121465064359	NULL	0
